state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recoveryrate,recovered,deathrate,death,hospitalized,total,totalTestResults,posNeg,fips,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
1,364,19961,0,25,0,0,0,0,0,0.697802198,254,0.024725275,9,0,20325,20325,20325,2,0,0,1197,9,1206
2,7158,84775,0,0,1008,0,335,0,195,0,0,0.038977368,279,1008,91933,91933,91933,1,10,30,4598,139,4737
3,3321,46355,0,95,414,0,0,23,85,0.594098163,1973,0.019271304,64,414,49676,49676,49676,5,3,12,1231,66,1297
4,0,57,0,0,0,0,0,0,0,0,0,0,0,0,57,57,57,60,0,0,54,0,54
5,7962,66917,0,709,1203,311,0,187,0,0.19191158,1528,0.041446873,330,1203,74879,74879,74879,4,10,34,2779,314,3093
6,50442,604543,0,4706,0,1434,0,0,0,0,0,0.041096705,2073,0,654985,654985,654985,6,91,0,28123,1525,29648
7,15284,57106,0,959,2697,0,0,0,0,0.162653756,2486,0.050837477,777,2697,72390,72390,72390,8,11,76,805,526,1331
8,28764,71493,0,1592,7758,0,0,0,0,0.151091642,4346,0.081316924,2339,7758,100257,100257,100257,9,82,7758,2060,1064,3124
9,4658,16477,0,0,0,0,0,0,0,0.14297982,666,0.0495921,231,0,21135,21135,21135,11,7,0,721,335,1056
10,4918,17667,0,281,0,0,0,0,0,0.285278569,1403,0.032330216,159,0,22585,22585,22585,10,7,0,581,184,765
11,34728,367971,0,0,5795,0,0,0,0,0,0,0.037836904,1314,5795,402699,402699,402699,12,24,0,19256,1038,20294
12,27270,141097,0,0,5269,0,1215,0,0,0,0,0.042317565,1154,5269,168367,168367,168367,13,34,113,18208,1115,19323
13,146,2859,0,0,0,0,0,0,0,0.897260274,131,0.034246575,5,0,3005,3005,3005,66,0,0,897,0,897
14,618,30476,0,0,70,0,0,0,0,0.851132686,526,0.025889968,16,70,31094,31094,31094,15,0,1,449,5,454
15,7884,37708,0,345,0,121,0,91,0,0.367706748,2899,0.021562659,170,0,45592,45592,45592,19,8,0,2186,739,2925
16,2015,27210,0,0,178,0,75,0,0,0.583126551,1175,0.031265509,63,178,29225,29225,29225,16,3,3,501,31,532
17,56055,228633,0,4900,0,1263,0,777,0,0,0,0.043831951,2457,0,284688,284688,284688,17,102,0,11684,3137,14821
18,18630,81009,0,1431,0,514,0,257,0,0,0,0.063070317,1175,0,99639,99639,99639,18,61,0,3846,795,4641
19,4449,28585,0,0,534,0,206,0,96,0.062935491,280,0.029220049,130,534,33034,33034,33034,20,1,11,1197,211,1408
20,4708,51904,0,330,1375,178,642,0,0,0.3557774,1675,0.05097706,240,1375,56612,56612,56612,21,5,16,2342,169,2511
21,28711,139540,0,1607,0,0,0,230,0,0.602661001,17303,0.067117133,1927,0,168251,168251,168251,22,65,0,6232,710,6942
22,64311,225325,0,3716,6169,947,0,0,0,0,0,0.057781717,3716,6169,289636,289636,289636,25,154,227,11883,2106,13989
23,23472,97511,0,1668,4718,568,0,0,0,0.064630198,1517,0.050783913,1192,4718,120983,120983,120983,24,52,159,4894,1730,6624
24,1123,19546,0,37,177,17,0,9,0,0.585040071,657,0.048975957,55,177,20669,20669,20669,23,2,7,0,28,28
25,42356,148149,0,2319,0,966,0,760,0,0.196949665,8342,0.091273964,3866,0,190505,190505,190505,26,77,0,9261,977,10238
26,5730,69099,0,369,1096,118,380,0,0,0.398254799,2282,0.064746946,371,1096,74829,74829,74829,27,28,52,3959,594,4553
27,7835,74590,0,883,0,0,0,137,0,0,0,0.043012125,337,0,82425,82425,82425,29,8,0,1465,273,1738
28,14,749,0,0,0,0,0,0,0,0.857142857,12,0.142857143,2,0,763,763,763,69,0,0,164,0,164
29,7212,64336,0,651,1226,160,0,75,0,0.473239046,3413,0.03896284,281,1226,71548,71548,71548,28,20,51,4811,397,5208
30,453,13750,0,5,61,0,0,0,0,0.876379691,397,0.035320088,16,61,14203,14203,14203,30,0,0,289,0,289
31,10923,122909,0,547,0,0,0,0,0,0,0,0.036528426,399,0,133832,133832,133832,37,21,0,5382,414,5796
32,1107,28418,0,27,86,0,0,0,0,0.435411021,482,0.020776874,23,86,29525,29525,29525,38,4,1,2025,40,2065
33,4281,23104,0,0,0,0,0,0,0,0,0,0.01635132,70,0,27385,27385,27385,31,2,0,1567,497,2064
34,2146,19903,302,112,262,0,0,0,0,0.45666356,980,0.033550792,72,262,22351,22049,22049,33,6,3,36,92,128
35,121190,135355,583,5972,0,1724,0,1286,0,0.129070055,15642,0.062199851,7538,0,257128,256545,256545,34,310,0,6089,2538,8627
36,3411,64458,0,172,536,0,0,0,0,0.222808561,760,0.036059807,123,536,67869,67869,67869,35,11,0,2586,198,2784
37,5227,38368,0,0,0,0,0,0,0,0.034819208,182,0.046489382,243,0,43595,43595,43595,32,6,0,1380,229,1609
38,308314,619124,0,10993,67180,0,0,0,0,0.182239535,56187,0.060360542,18610,67180,927438,927438,927438,36,289,811,22860,3942,26802
39,18743,121763,0,0,3634,0,1056,0,0,0,0,0.053459958,1002,3634,140506,140506,140506,39,27,101,5900,716,6616
40,3748,59804,0,255,715,113,0,0,0,0.658217716,2467,0.061366062,230,715,63552,63552,63552,40,8,12,0,130,130
41,2579,55597,0,208,591,49,0,23,0,0,0,0.040325708,104,591,58176,58176,58176,41,1,13,2075,69,2144
42,46971,180477,0,2683,0,0,0,590,0,0,0,0.050116029,2354,0,227448,227448,227448,42,62,0,4875,1208,6083
43,1575,9313,0,0,0,0,0,0,0,0,0,0.058412698,92,0,10888,10888,10888,72,0,0,0,36,36
44,8962,57686,0,352,937,76,0,51,0,0.054117385,485,0.031131444,279,937,66648,66648,66648,44,13,41,2597,341,2938
45,6258,53121,0,0,1110,0,0,0,0,0.578779163,3622,0.040907638,256,1110,59379,59379,59379,45,12,110,2704,163,2867
46,2525,14838,0,69,179,0,0,0,0,0.667722772,1686,0.008316832,21,179,17363,17363,17363,46,4,6,259,76,335
47,11891,174241,0,0,1113,0,0,0,0,0.466403162,5546,0.017155832,204,1113,186132,186132,186132,47,9,100,16058,1525,17583
48,29229,322546,0,1778,0,0,0,0,0,0.483150296,14122,0.027917479,816,0,351775,351775,351775,48,34,0,20333,1142,21475
49,4828,107730,0,0,403,0,0,0,0,0.427091964,2062,0.009527755,46,403,112558,112558,112558,49,0,13,3901,156,4057
50,16901,88747,468,1431,3654,366,0,193,0,0.12993314,2196,0.034376664,581,3654,106116,105648,105648,51,29,0,13084,1055,14139
51,66,811,68,0,0,0,0,0,0,0.772727273,51,0.060606061,4,0,945,877,877,78,0,0,4,0,4
52,879,15354,0,19,0,0,0,0,0,0,0,0.056882821,50,0,16233,16233,16233,50,1,0,568,13,581
53,14327,179654,0,470,0,120,0,0,0,0,0,0.056815802,814,0,193981,193981,193981,53,13,0,5924,257,6181
54,7314,72566,218,560,1544,127,391,0,0,0.458299152,3352,0.044708778,327,1544,80098,79880,79880,55,11,32,3172,460,3632
55,1136,45708,0,81,0,33,0,18,0,0.488556338,555,0.040492958,46,0,46844,46844,46844,54,5,0,2285,18,2303
56,559,9136,0,13,56,0,0,0,0,0.66726297,373,0.012522361,7,56,9695,9695,9695,56,0,0,234,15,249
